orig,id,pubdate,clean,TextBlob,polarity,subjectivity,sentiment
to gostando do #newtwitter ... :D,2708101970,18546,to gostando do #newtwitter ... :d,to gostando do #newtwitter ... :d,0.0,0.0,neutral
What Is Going On With This #NewTwitter? I Have To Click Tweet Twice In Order To Make 1 Tweet.,2708237856,18547,what is going on with this #newtwitter? i have to click tweet twice in order to make 1 tweet.,what is going on with this #newtwitter? i have to click tweet twice in order to make 1 tweet.,0.0,0.0,neutral
Wo0t finally got #newtwitter on my computer!,2697948230,18545,wo0t finally got #newtwitter on my computer!,wo0t finally got #newtwitter on my computer!,0.0,1.0,neutral
"hmm, #newtwitter seems busted using 32-bit @Opera 10.61 on Linux. #sadboosh #guessillstickwithclients",2706872761,18546,"hmm, #newtwitter seems busted using 32-bit @opera 10.61 on linux. #sadboosh #guessillstickwithclients","hmm, #newtwitter seems busted using 32-bit @opera 10.61 on linux. #sadboosh #guessillstickwithclients",0.0,0.0,neutral
como ve DM no #NewTwitter ? ><,2717480680,18547,como ve dm no #newtwitter ? ><,como ve dm no #newtwitter ? ><,0.0,0.0,neutral
Trying the #NewTwitter,2697551741,18545,trying the #newtwitter,trying the #newtwitter,0.0,0.0,neutral
how the hell do you retweet on #newtwitter? it wont show up. help?,2697286739,18545,how the hell do you retweet on #newtwitter? it will not show up. help?,how the hell do you retweet on #newtwitter? it will not show up. help?,0.0,0.0,neutral
#newtwitter is for #TittyTuesday.,2716487229,18547,#newtwitter is for #tittytuesday.,#newtwitter is for #tittytuesday.,0.0,0.0,neutral
D0NT THINK IM LIKING THE #NEWTWITTER SHYT #P00,2717843704,18547,d0nt think i am liking the #newtwitter shyt #p00,d0nt think i am liking the #newtwitter shyt #p00,0.0,0.0,neutral
"If you don't like the #newtwitter, please sign this. http://twitition.com/jg9cr",2717728029,18547,"if you don't like the #newtwitter, please sign this. ","if you don't like the #newtwitter, please sign this. ",0.0,0.0,neutral
Does everybody have the #newTwitter now? everybody all caught up ?,2717139751,18547,does everybody have the #newtwitter now? everybody all caught up ?,does everybody have the #newtwitter now? everybody all caught up ?,0.0,0.0,neutral
to usando o #newtwitter  neem sei porque tbm '-'  kkkk,2707381720,18546,to usando o #newtwitter  neem sei porque tbm '-'  kkkk,to usando o #newtwitter  neem sei porque tbm '-'  kkkk,0.0,0.0,neutral
I'm liking the #NewTwitter if only for the fact that I no longer have to click the button to read earlier tweets ... //cont ...//,2707554195,18546,i'm liking the #newtwitter if only for the fact that i no longer have to click the button to read earlier tweets ... //cont ...//,i'm liking the #newtwitter if only for the fact that i no longer have to click the button to read earlier tweets ... //cont ...//,0.0,0.75,neutral
#newtwitter motha suckas,2708579861,18547,#newtwitter motha suckas,#newtwitter motha suckas,0.0,0.0,neutral
am i the only one who likes the #newtwitter ?,2707316517,18546,am i the only one who likes the #newtwitter ?,am i the only one who likes the #newtwitter ?,0.0,1.0,neutral
FINALLY #NewTwitter for ME!!!,2717465646,18547,finally #newtwitter for me!!!,finally #newtwitter for me!!!,0.0,1.0,neutral
#newtwitter !!!,2697213284,18545,#newtwitter !!!,#newtwitter !!!,0.0,0.0,neutral
@iambendavis #newtwitter is legit. Yo are you busy next tuesday???,2707697552,18546,@iambendavis #newtwitter is legit. yo are you busy next tuesday???,@iambendavis #newtwitter is legit. yo are you busy next tuesday???,0.05,0.15,neutral
Dr Insult thinks #newtwitter is a complaint from one of his patients. #iphone #app http://bit.ly/d9pKCi #free #comedy #humor #doctor,2717078769,18547,dr insult thinks #newtwitter is a complaint from one of his patients. #iphone #app  #free #comedy #humor #doctor,dr insult thinks #newtwitter is a complaint from one of his patients. #iphone #app  #free #comedy #humor #doctor,0.05000000000000002,0.5,neutral
~ OMG ! Finally the new version of Twitter... Now I can die [last tweet before the Brand New Twitter] #newtwitter,2659751039,18541,~ omg ! finally the new version of twitter... now i can die [last tweet before the brand new twitter] #newtwitter,~ omg ! finally the new version of twitter... now i can die [last tweet before the brand new twitter] #newtwitter,0.06818181818181818,0.49393939393939396,neutral
Finally have New Twitter! #yay #newtwitter,2658480663,18541,finally have new twitter! #yay #newtwitter,finally have new twitter! #yay #newtwitter,0.08522727272727272,0.7272727272727273,neutral
New Twitter on one account and old twitter on another account?  When will it get to all accounts? #newtwitter,2622192321,18538,new twitter on one account and old twitter on another account?  when will it get to all accounts? #newtwitter,new twitter on one account and old twitter on another account?  when will it get to all accounts? #newtwitter,0.11818181818181818,0.32727272727272727,positive
cara make #newtwitter gimana?emang new twitter apaan ? -_-,2614182944,18537,cara make #newtwitter gimana?emang new twitter apaan ? -_-,cara make #newtwitter gimana?emang new twitter apaan ? -_-,0.13636363636363635,0.45454545454545453,positive
A Review of the New Twitter Platform by InterSearchMedia @collegedj http://www.collegedj.net/tech/new-twitter/ #newtwitter #college,2677693643,18543,a review of the new twitter platform by intersearchmedia @collegedj  #newtwitter #college,a review of the new twitter platform by intersearchmedia @collegedj  #newtwitter #college,0.13636363636363635,0.45454545454545453,positive
i refuse to click the #newtwitter button F YOU NEW TWITTER,2671057189,18543,i refuse to click the #newtwitter button f you new twitter,i refuse to click the #newtwitter button f you new twitter,0.13636363636363635,0.45454545454545453,positive
#WithOutMy #NewTwitter i would be board like the rest of u with out the new twitter,2673003946,18543,#withoutmy #newtwitter i would be board like the rest of you with out the new twitter,#withoutmy #newtwitter i would be board like the rest of you with out the new twitter,0.13636363636363635,0.45454545454545453,positive
New Twitter Is The Bigges Dog #NewTwitter,2629372558,18538,new twitter is the bigges dog #newtwitter,new twitter is the bigges dog #newtwitter,0.13636363636363635,0.45454545454545453,positive
Making a new twitter background for the #newtwitter,2685076343,18544,making a new twitter background for the #newtwitter,making a new twitter background for the #newtwitter,0.13636363636363635,0.45454545454545453,positive
I'm trying New Twitter. For me it looks like this: http://furubakar.narod.ru/My_New_Twitter_2010100701.png   Â #NewTwitte,2658614093,18541,i'm trying new twitter. for me it looks like this:     #newtwitte,i'm trying new twitter. for me it looks like this:     #newtwitte,0.13636363636363635,0.45454545454545453,positive
Everybody Should Get Use To The #newtwitter Cause They Might Make This New Twitter Permanent,2686732985,18544,everybody should get use to the #newtwitter cause they might make this new twitter permanent,everybody should get use to the #newtwitter cause they might make this new twitter permanent,0.13636363636363635,0.45454545454545453,positive
alright new twitter. #newtwitter,2659526706,18541,alright new twitter. #newtwitter,alright new twitter. #newtwitter,0.13636363636363635,0.45454545454545453,positive
"No #newtwitter yet.  I am patiently waiting.  pssh, even @alqaeda gets the new twitter before me.",2647279663,18540,"no #newtwitter yet.  i am patiently waiting.  pssh, even @alqaeda gets the new twitter before me.","no #newtwitter yet.  i am patiently waiting.  pssh, even @alqaeda gets the new twitter before me.",0.13636363636363635,0.45454545454545453,positive
why isnt mine the new twitter? #NewTwitter,2624104362,18538,why isnt mine the new twitter? #newtwitter,why isnt mine the new twitter? #newtwitter,0.13636363636363635,0.45454545454545453,positive
"The new @Twitter promotional video. Soundtrack by: Will.i.am and Nick Minaj. ""Check It Out"". http://t.co/vlaoTaP [#newtwitter #socialmedia]",2659641531,18541,"the new @twitter promotional video. soundtrack by: will.i.am and nick minaj. ""check it out"".  [#newtwitter #socialmedia]","the new @twitter promotional video. soundtrack by: will.i.am and nick minaj. ""check it out"".  [#newtwitter #socialmedia]",0.13636363636363635,0.45454545454545453,positive
Quero new twitter #newtwitter,2619530219,18537,quero new twitter #newtwitter,quero new twitter #newtwitter,0.13636363636363635,0.45454545454545453,positive
"Damn you, new Twitter, you just keep going and going. Now I keep reading and reading without stopping for days and days. #newtwitter",2672082646,18543,"damn you, new twitter, you just keep going and going. now i keep reading and reading without stopping for days and days. #newtwitter","damn you, new twitter, you just keep going and going. now i keep reading and reading without stopping for days and days. #newtwitter",0.13636363636363635,0.45454545454545453,positive
"I just left the preview of new @Twitter. Couldn't stand it. Especially the DMs. When they force me on it, fine. #NewTwitter",2603355408,18536,"i just left the preview of new @twitter. couldn't stand it. especially the dms. when they force me on it, fine. #newtwitter","i just left the preview of new @twitter. couldn't stand it. especially the dms. when they force me on it, fine. #newtwitter",0.13825757575757575,0.48863636363636365,positive
Be glad. RT @lizzieanderton I cant access the new twitter! :/ #newtwitter,2677896943,18543,be glad. rt @lizzieanderton i can not access the new twitter! :/ #newtwitter,be glad. rt @lizzieanderton i can not access the new twitter! :/ #newtwitter,0.14015151515151514,0.8181818181818182,positive
Going back and forth from old twitter to new twitter I'm astonished at how much better new twitter is. #newtwitter #ftw,2658782972,18541,going back and forth from old twitter to new twitter i'm astonished at how much better new twitter is. #newtwitter #ftw,going back and forth from old twitter to new twitter i'm astonished at how much better new twitter is. #newtwitter #ftw,0.17454545454545453,0.32181818181818184,positive
@nlschmidt I am actually a fan of #newtwitter but it took some time. Golden ratio!,2707506357,18546,@nlschmidt i am actually a fan of #newtwitter but it took some time. golden ratio!,@nlschmidt i am actually a fan of #newtwitter but it took some time. golden ratio!,0.1875,0.3,positive
@support Why are my tweets on new twitter not appearing in the #newtwitter timeline? Is it because you know I am right?,2679836906,18544,@support why are my tweets on new twitter not appearing in the #newtwitter timeline? is it because you know i am right?,@support why are my tweets on new twitter not appearing in the #newtwitter timeline? is it because you know i am right?,0.21103896103896103,0.4951298701298701,positive
"I was having that problem, too! RT @markgammon: RT @cdavid17: Hey @twitter I can't create new lists!! #NewTwitter #bugs",2706696190,18546,"i was having that problem, too! rt @markgammon: rt @cdavid17: hey @twitter i can't create new lists!! #newtwitter #bugs","i was having that problem, too! rt @markgammon: rt @cdavid17: hey @twitter i can't create new lists!! #newtwitter #bugs",0.2130681818181818,0.45454545454545453,positive
al fin!! new twitter!! :D #newtwitter,2672050497,18543,al fin!! new twitter!! :d #newtwitter,al fin!! new twitter!! :d #newtwitter,0.2130681818181818,0.45454545454545453,positive
#NewTwitter Looks quiet nice. So far it seems like an improvement.,2707614487,18546,#newtwitter looks quiet nice. so far it seems like an improvement.,#newtwitter looks quiet nice. so far it seems like an improvement.,0.2333333333333333,0.7777777777777777,positive
AWW i want new twitter! i want #newtwitter @twitter xxxx,2648436723,18540,aww i want new twitter! i want #newtwitter @twitter xxxx,aww i want new twitter! i want #newtwitter @twitter xxxx,0.23522727272727273,0.6772727272727272,positive
Really liking the #newtwitter!,2697513859,18545,really liking the #newtwitter!,really liking the #newtwitter!,0.25,0.2,positive
"... It opens the next ""page"" automatically as you reach the bottom of the page. :) #NewTwitter",2707560275,18546,"... it opens the next ""page"" automatically as you reach the bottom of the page. :) #newtwitter","... it opens the next ""page"" automatically as you reach the bottom of the page. :) #newtwitter",0.25,0.5,positive
"""Awesome"" is the word for #NewTwitter. That is, if ""awesome"" was the new word for ""HOLY MOTHER OF GOD THIS IS AWFUL! It BUUUUURNS!""",2697905835,18545,"""awesome"" is the word for #newtwitter. that is, if ""awesome"" was the new word for ""holy mother of god this is awful! it buuuuurns!""","""awesome"" is the word for #newtwitter. that is, if ""awesome"" was the new word for ""holy mother of god this is awful! it buuuuurns!""",0.28409090909090906,0.8636363636363636,positive
@biia_0509 la em cima tem escrito Welcome to #NewTwitter! Read up on whatÂs new. You can also leave the preview and come back later. +,2718119934,18547,@biia_0509 la em cima tem escrito welcome to #newtwitter! read up on whats new. you can also leave the preview and come back later. +,@biia_0509 la em cima tem escrito welcome to #newtwitter! read up on whats new. you can also leave the preview and come back later. +,0.28409090909090906,0.3386363636363636,positive
Love the new Twitter. #newtwitter,2659156238,18541,love the new twitter. #newtwitter,love the new twitter. #newtwitter,0.3181818181818182,0.5272727272727272,positive
new twitter is more convenient. now i don't have to wait for a new page to load. :) #NewTwitter,2613720093,18537,new twitter is more convenient. now i don't have to wait for a new page to load. :) #newtwitter,new twitter is more convenient. now i don't have to wait for a new page to load. :) #newtwitter,0.3181818181818182,0.6022727272727273,positive
I got the new twitter interface :) @newtwitter #NewTwitter,2646971795,18540,i got the new twitter interface :) @newtwitter #newtwitter,i got the new twitter interface :) @newtwitter #newtwitter,0.3181818181818182,0.7272727272727273,positive
Splodz Blogz: Quick blog yesterday about #newtwitter... any thoughts? http://splodzblogz.wordpress.com/2010/10/03/the-new-twitter/,2639355734,18539,splodz blogz: quick blog yesterday about #newtwitter... any thoughts? ,splodz blogz: quick blog yesterday about #newtwitter... any thoughts? ,0.3333333333333333,0.5,positive
@timeawhite A new Twitter experience is coming! Learn more about itÂ #NewTwitter ez van oda irva,2616724065,18537,@timeawhite a new twitter experience is coming! learn more about it #newtwitter ez van oda irva,@timeawhite a new twitter experience is coming! learn more about it #newtwitter ez van oda irva,0.3352272727272727,0.4772727272727273,positive
#newtwitter is cool... i guess,2697451265,18545,#newtwitter is cool... i guess,#newtwitter is cool... i guess,0.35,0.65,positive
well.. i like the new twitter! it makes all easier and more comfortable.. #newtwitter,2683272497,18544,well.. i like the new twitter! it makes all easier and more comfortable.. #newtwitter,well.. i like the new twitter! it makes all easier and more comfortable.. #newtwitter,0.35681818181818176,0.5848484848484848,positive
Loving the new twitter! #NewTwitter,2647758636,18540,loving the new twitter! #newtwitter,loving the new twitter! #newtwitter,0.3852272727272727,0.7022727272727273,positive
"Worldly things -> I love the new Twitter.  Love, love, love it.  Thanks inventors of the #newtwitter",2612240190,18536,"worldly things -> i love the new twitter.  love, love, love it.  thanks inventors of the #newtwitter","worldly things -> i love the new twitter.  love, love, love it.  thanks inventors of the #newtwitter",0.3893939393939394,0.5090909090909091,positive
#newtwitter has got me using it from the website again. that definitely speaks for great redesign work.,2698082015,18545,#newtwitter has got me using it from the website again. that definitely speaks for great redesign work.,#newtwitter has got me using it from the website again. that definitely speaks for great redesign work.,0.4,0.625,positive
New Twitter welcome screen prompt http://twitpic.com/2tz4c0 #newtwitter,2617670220,18537,new twitter welcome screen prompt  #newtwitter,new twitter welcome screen prompt  #newtwitter,0.4681818181818182,0.6772727272727272,positive
"Dear @Twitter.  I like #NewTwitter, but it'd be great if you could highlight/bold/change the Messages link when I have a new DM. #kthxbye",2716689957,18547,"dear @twitter.  i like #newtwitter, but it'd be great if you could highlight/bold/change the messages link when i have a new dm. #kthxbye","dear @twitter.  i like #newtwitter, but it'd be great if you could highlight/bold/change the messages link when i have a new dm. #kthxbye",0.4681818181818182,0.6022727272727273,positive
@ChrisOHara10 Let's make it official Happy Birthday coming live from @janinetoro's new twitter lol #newtwitter,2697372254,18545,@chrisohara10 let's make it official happy birthday coming live from @janinetoro's new twitter lol #newtwitter,@chrisohara10 let's make it official happy birthday coming live from @janinetoro's new twitter lol #newtwitter,0.4681818181818182,0.6636363636363636,positive
"sooooooo, I think I like the #oldtwitter better than the #newtwitter",2697067527,18545,"sooooooo, i think i like the #oldtwitter better than the #newtwitter","sooooooo, i think i like the #oldtwitter better than the #newtwitter",0.5,0.5,positive
@jukugocafe_mem Good morning!;) I'm happy to see you. I'd like to tweet w/ u more if #newtwitter guy isn't acting up on me. Have a good day,2719000517,18548,@jukugocafe_mem good morning!;) i'm happy to see you. i'd like to tweet w/ you more if #newtwitter guy isn't acting up on me. have a good day,@jukugocafe_mem good morning!;) i'm happy to see you. i'd like to tweet w/ you more if #newtwitter guy isn't acting up on me. have a good day,0.5208333333333334,0.6166666666666667,positive
My new twitter is twit awesome  #newtwitter,2676789780,18543,my new twitter is twit awesome  #newtwitter,my new twitter is twit awesome  #newtwitter,0.5681818181818181,0.7272727272727273,positive
Whenever i tweet with New Twitter... I feel great! *I Luv the #NewTwitter,2619956575,18537,whenever i tweet with new twitter... i feel great! *i luv the #newtwitter,whenever i tweet with new twitter... i feel great! *i luv the #newtwitter,0.5681818181818181,0.6022727272727273,positive
Kind of liking #newtwitter.,2707520260,18546,kind of liking #newtwitter.,kind of liking #newtwitter.,0.6,0.9,positive
Awesome. Thanks. RT @jonpierce: w/e hack: adding classic-style RTs to #NewTwitter via Chrome http://bit.ly/classic-retweet-for-chrome,2716634840,18547,awesome. thanks. rt @jonpierce: w/e hack: adding classic-style rts to #newtwitter via chrome ,awesome. thanks. rt @jonpierce: w/e hack: adding classic-style rts to #newtwitter via chrome ,0.6,0.6,positive
"@abrasion @sarselack No reference to #newtwitter in my phone app, is there a good app that I could use on my laptop?",2717485121,18547,"@abrasion @sarselack no reference to #newtwitter in my phone app, is there a good app that i could use on my laptop?","@abrasion @sarselack no reference to #newtwitter in my phone app, is there a good app that i could use on my laptop?",0.7,0.6000000000000001,positive
I like to the #newtwitter.  It has better functions finally.  LOL!,2707665135,18546,i like to the #newtwitter.  it has better functions finally.  lol!,i like to the #newtwitter.  it has better functions finally.  lol!,0.75,0.6,positive
